datetime,iso_year,iso_week,total_population,total_cases_formula,inc_per_10k,temp_mean,temp_max,temp_min,rh_mean,rh_max,rh_min
2011-01-03,2011,1,4600276,4139.0,8.997286249781535,-6.727380952380953,1.0,-12.2,88.41071428571429,95,80
2011-01-10,2011,2,4600276,6456.0,14.033940572261317,-4.704166666666667,2.5,-14.4,87.78571428571429,97,79
2011-01-17,2011,3,4600276,17218.0,37.42818909126322,-5.432142857142857,-0.6,-15.9,90.92857142857143,98,77
2011-01-24,2011,4,4600276,28598.0,62.16583526727526,-6.477380952380953,-0.3,-16.9,87.57142857142857,94,79
2011-01-31,2011,5,4600276,30927.0,67.2285749811533,-2.5136904761904764,1.1,-12.4,90.94642857142857,98,82
2011-02-07,2011,6,4600276,37033.0,80.50169163763218,-10.70952380952381,-1.2,-19.2,83.85119047619048,97,70
2011-02-14,2011,7,4600276,30160.0,65.56128371428149,-21.751190476190477,-15.6,-27.0,77.30357142857143,83,67
2011-02-21,2011,8,4600276,7987.0,17.36200175815538,-14.607142857142858,-4.5,-22.4,80.17261904761905,87,67
2011-02-28,2011,9,4600276,28080.0,61.039815871917256,-5.821428571428571,0.1,-15.7,83.92261904761905,94,65
2011-03-07,2011,10,4600276,8844.0,19.22493346051411,-2.5785714285714283,1.7,-12.2,82.88095238095238,95,59
2011-03-14,2011,11,4600276,16887.0,36.70866704519468,-3.1464285714285714,2.9,-11.8,82.76190476190476,96,62
2011-03-21,2011,12,4600276,8894.0,19.33362259134017,-3.155357142857143,4.6,-11.2,79.36904761904762,96,55
2011-03-28,2011,13,4600276,5085.0,11.053684605010655,-2.0630952380952383,5.8,-10.8,81.89880952380952,97,54
2011-04-04,2011,14,4600276,1466.0,3.1867653158201814,2.463690476190476,6.9,-1.6,86.18452380952381,100,63
2011-04-11,2011,15,4600276,2349.0,5.106215366208462,1.4375,8.9,-4.2,78.95238095238095,100,58
2011-04-18,2011,16,4600276,448.0,0.9738546122015288,4.666666666666667,14.7,-4.2,71.85119047619048,94,47
2011-04-25,2011,17,4600276,3311.0,7.197394243301924,7.2821428571428575,17.7,-0.2,68.81547619047619,99,36
2011-05-02,2011,18,4600276,891.0,1.936840311320451,5.123214285714286,15.5,-2.0,81.85714285714286,99,43
2011-05-09,2011,19,4600276,4933.0,10.723269647299423,10.855357142857143,18.5,3.9,57.38690476190476,94,33
2011-05-16,2011,20,4600276,3188.0,6.930018981469808,11.773214285714285,17.8,5.4,70.0952380952381,99,43
2011-05-23,2011,21,4600276,0.0,0.0,12.491666666666665,22.3,5.3,72.00595238095238,98,39
2011-05-30,2011,22,4600276,0.0,0.0,16.152380952380952,26.7,8.2,66.5952380952381,95,42
2011-06-06,2011,23,4600276,0.0,0.0,18.771428571428572,25.5,7.9,56.035714285714285,90,31
2011-06-13,2011,24,4600276,0.0,0.0,14.311904761904762,20.3,10.0,82.86904761904762,100,43
2011-06-20,2011,25,4600276,0.0,0.0,15.404761904761905,20.4,10.8,82.23214285714286,100,49
2011-06-27,2011,26,4600276,0.0,0.0,20.22797619047619,28.0,12.3,76.70833333333333,98,43
2011-07-04,2011,27,4600276,0.0,0.0,20.695238095238096,27.4,15.2,78.04166666666667,100,45
2011-07-11,2011,28,4600276,0.0,0.0,19.380357142857143,26.7,14.0,77.5952380952381,99,50
2011-07-18,2011,29,4600276,0.0,0.0,22.71547619047619,28.9,12.7,73.83928571428571,100,44
2011-07-25,2011,30,4600276,0.0,0.0,21.621428571428574,29.6,16.1,81.3452380952381,99,46
2011-08-01,2011,31,4600276,0.0,0.0,17.0125,23.0,10.1,71.47619047619048,99,46
2011-08-08,2011,32,4600276,0.0,0.0,15.854761904761904,21.2,10.2,85.57738095238095,99,58
2011-08-15,2011,33,4600276,0.0,0.0,17.09642857142857,21.3,11.9,88.58928571428571,100,60
2011-08-22,2011,34,4600276,0.0,0.0,17.25952380952381,25.6,12.2,81.11904761904762,100,48
2011-08-29,2011,35,4600276,0.0,0.0,13.938690476190475,19.3,9.7,84.66666666666667,100,52
2011-09-05,2011,36,4600276,0.0,0.0,13.238095238095237,19.1,8.0,86.20238095238095,99,55
2011-09-12,2011,37,4600276,0.0,0.0,12.62797619047619,17.1,7.0,84.71428571428571,100,61
2011-09-19,2011,38,4600276,0.0,0.0,11.22797619047619,15.5,6.3,86.57738095238095,99,61
2011-09-26,2011,39,4600276,0.0,0.0,10.308928571428572,16.2,6.1,82.25,98,60
2011-10-03,2011,40,4600276,0.0,0.0,9.989880952380952,14.4,3.9,85.2797619047619,100,56
2011-10-10,2011,41,4600276,0.0,0.0,5.2,9.5,-0.2,87.68452380952381,99,64
2011-10-17,2011,42,4600276,0.0,0.0,5.8601190476190474,9.7,1.8,81.33928571428571,97,60
2011-10-24,2011,43,4600276,0.0,0.0,5.538095238095238,9.6,1.6,87.5297619047619,100,57
2011-10-31,2011,44,4600276,0.0,0.0,6.7422619047619055,10.4,0.7,85.69642857142857,100,58
2011-11-07,2011,45,4600276,0.0,0.0,3.0095238095238095,8.3,-2.1,89.30952380952381,99,57
2011-11-14,2011,46,4600276,350.0,0.7608239157824443,1.6166666666666667,5.3,-5.7,85.35119047619048,100,59
2011-11-21,2011,47,4600276,318.0,0.6912628720537637,1.1589285714285713,7.6,-6.6,92.11309523809524,100,67
2011-11-28,2011,48,4600276,0.0,0.0,1.4672619047619047,7.5,-3.3,91.82738095238095,100,69
2011-12-05,2011,49,4600276,368.0,0.7999520028798273,0.5791666666666666,2.5,-1.3,86.33333333333333,99,75
2011-12-12,2011,50,4600276,0.0,0.0,1.5511904761904762,4.5,-0.9,92.42261904761905,100,79
2011-12-19,2011,51,4600276,0.0,0.0,-0.3011904761904762,2.8,-2.9,87.26785714285714,99,71
2011-12-26,2011,52,4899344,0.0,0.0,1.2315476190476191,7.0,-3.6,82.5,96,51
2012-01-02,2012,1,4899344,0.0,0.0,-1.1458333333333333,2.1,-6.5,87.52380952380952,98,67
2012-01-09,2012,2,4899344,0.0,0.0,-2.5,1.6,-7.5,91.82738095238095,98,83
2012-01-16,2012,3,4899344,0.0,0.0,-5.694642857142857,-2.4,-8.6,88.17261904761905,97,80
2012-01-23,2012,4,4899344,382.0,0.7796962205552417,-16.4875,-5.2,-24.6,79.31547619047619,84,70
2012-01-30,2012,5,4899344,3752.0,7.658168113935253,-20.251190476190477,-16.2,-25.3,77.99404761904762,84,68
2012-02-06,2012,6,4899344,1566.0,3.19634628635997,-17.598809523809525,-9.4,-28.6,80.32738095238095,89,69
2012-02-13,2012,7,4899344,7616.0,15.544938261122306,-13.483333333333333,-5.4,-22.0,80.93452380952381,88,69
2012-02-20,2012,8,4899344,8842.0,18.04731408939646,-2.580952380952381,1.4,-7.1,88.69047619047619,99,71
2012-02-27,2012,9,4899344,13377.0,27.303655346511693,-3.6083333333333334,1.8,-12.6,87.35714285714286,98,73
2012-03-05,2012,10,4899344,13630.0,27.82005101091085,-6.810714285714286,2.0,-16.2,84.7797619047619,97,63
2012-03-12,2012,11,4899344,15581.0,31.80221678657388,-1.0297619047619047,3.1,-9.8,83.31547619047619,97,61
2012-03-19,2012,12,4899344,21312.0,43.499701184485104,-1.130952380952381,2.3,-7.8,84.48809523809524,100,51
2012-03-26,2012,13,4899344,20100.0,41.02590061036743,-2.0535714285714284,4.2,-10.7,79.85119047619048,98,40
2012-04-02,2012,14,4899344,11914.0,24.31754128716008,-0.894047619047619,4.3,-8.4,76.33928571428571,99,45
2012-04-09,2012,15,4899344,16779.0,34.24744210653508,2.2220238095238094,12.4,-6.3,73.73214285714286,98,39
2012-04-16,2012,16,4899344,32091.0,65.50060579538811,4.566071428571429,13.6,-3.9,80.875,100,48
2012-04-23,2012,17,4899344,15534.0,31.706285576191423,9.067857142857143,14.8,3.4,81.7797619047619,100,54
2012-04-30,2012,18,4899344,11180.0,22.819381533527757,7.2214285714285715,14.9,-1.2,64.22619047619048,93,35
2012-05-07,2012,19,4899344,2050.0,4.1842336443409565,10.788690476190476,20.3,3.3,69.91666666666667,98,36
2012-05-14,2012,20,4899344,1580.0,3.2249215405164446,13.45,25.2,1.2,64.11904761904762,97,33
2012-05-21,2012,21,4899344,0.0,0.0,13.327976190476189,23.0,4.7,64.23809523809524,100,33
2012-05-28,2012,22,4899344,431.0,0.8797096101029036,11.063095238095238,19.9,3.3,70.43452380952381,98,34
2012-06-04,2012,23,4899344,0.0,0.0,13.15357142857143,21.1,5.0,64.75,96,35
2012-06-11,2012,24,4899344,0.0,0.0,16.430357142857144,23.5,9.3,74.36904761904762,100,37
2012-06-18,2012,25,4899344,0.0,0.0,14.763095238095238,21.3,9.2,71.14285714285714,100,33
2012-06-25,2012,26,4899344,0.0,0.0,14.610714285714286,20.8,7.3,77.74404761904762,100,44
2012-07-02,2012,27,4899344,0.0,0.0,19.142261904761906,29.2,10.9,68.875,99,37
2012-07-09,2012,28,4899344,0.0,0.0,18.56845238095238,26.0,12.4,75.56547619047619,99,36
2012-07-16,2012,29,4899344,0.0,0.0,15.003571428571428,20.2,11.0,79.9047619047619,99,55
2012-07-23,2012,30,4899344,0.0,0.0,19.142261904761906,31.8,10.5,75.26785714285714,98,40
2012-07-30,2012,31,4899344,0.0,0.0,19.31904761904762,31.9,11.8,73.85714285714286,98,41
2012-08-06,2012,32,4899344,0.0,0.0,14.727976190476191,24.5,9.9,76.68452380952381,98,54
2012-08-13,2012,33,4899344,0.0,0.0,16.945833333333333,22.4,10.0,76.79761904761905,100,47
2012-08-20,2012,34,4899344,0.0,0.0,13.913095238095238,18.5,8.5,82.08333333333333,100,46
2012-08-27,2012,35,4899344,0.0,0.0,13.279761904761905,18.8,7.1,80.86904761904762,99,51
2012-09-03,2012,36,4899344,0.0,0.0,12.066666666666666,18.2,6.3,84.36904761904762,98,48
2012-09-10,2012,37,4899344,0.0,0.0,13.313690476190475,23.1,5.7,81.18452380952381,98,55
2012-09-17,2012,38,4899344,0.0,0.0,12.842261904761905,18.8,5.7,79.25,100,58
2012-09-24,2012,39,4899344,0.0,0.0,10.64642857142857,16.2,6.4,86.85119047619048,99,67
2012-10-01,2012,40,4899344,0.0,0.0,10.136309523809524,15.6,5.1,88.02380952380952,99,65
2012-10-08,2012,41,4899344,0.0,0.0,5.202976190476191,9.7,-0.3,91.70833333333333,100,68
2012-10-15,2012,42,4899344,0.0,0.0,8.35892857142857,13.8,2.5,91.76190476190476,100,76
2012-10-22,2012,43,4899344,0.0,0.0,1.1738095238095236,6.3,-3.1,86.61309523809524,98,60
2012-10-29,2012,44,4899344,633.0,1.292009705789183,1.1142857142857143,5.6,-3.6,89.25595238095238,100,65
2012-11-05,2012,45,4899344,0.0,0.0,0.9851190476190477,4.3,-3.7,89.29166666666667,100,65
2012-11-12,2012,46,4899344,0.0,0.0,4.306547619047619,7.2,0.5,89.38095238095238,100,59
2012-11-19,2012,47,4899344,0.0,0.0,3.6035714285714286,5.0,0.6,89.44047619047619,100,75
2012-11-26,2012,48,4899344,0.0,0.0,-4.357142857142857,2.2,-10.6,84.47619047619048,100,67
2012-12-03,2012,49,4899344,0.0,0.0,-5.483333333333333,-2.1,-9.1,91.10714285714286,95,85
2012-12-10,2012,50,4899344,0.0,0.0,-7.335714285714286,-0.3,-12.7,83.5952380952381,93,72
2012-12-17,2012,51,4899344,0.0,0.0,-17.496428571428574,-10.8,-24.1,78.8452380952381,84,68
2012-12-24,2012,52,4899344,916.0,1.869638057666496,-7.4452380952380945,1.6,-19.2,86.13690476190476,97,70
2012-12-31,2013,1,4953219,0.0,0.0,-1.4,2.2,-5.5,92.95833333333333,98,85
2013-01-07,2013,2,4953219,1757.0,3.5471882022579657,-8.164880952380953,-3.0,-15.6,88.33928571428571,97,80
2013-01-14,2013,3,4953219,5304.0,10.708187948079823,-11.613095238095237,-3.7,-25.1,85.68452380952381,92,74
2013-01-21,2013,4,4953219,6902.0,13.934372778591053,-7.948214285714285,-4.2,-13.1,85.01190476190476,91,71
2013-01-28,2013,5,4953219,15170.0,30.62654810942137,-4.611309523809524,0.9,-13.8,88.0952380952381,96,75
2013-02-04,2013,6,4953219,29074.0,58.69718257965174,-2.5666666666666664,0.7,-8.1,92.82142857142857,98,79
2013-02-11,2013,7,4953219,29146.0,58.84254259704649,-3.1886904761904766,0.7,-9.2,90.875,97,75
2013-02-18,2013,8,4953219,36373.0,73.43305434304439,-6.8827380952380945,-1.9,-11.3,86.89285714285714,94,73
2013-02-25,2013,9,4953219,33395.0,67.42080251246715,-4.773214285714285,1.7,-15.4,85.21428571428571,95,62
2013-03-04,2013,10,4953219,14861.0,30.00271136810224,-9.1375,1.9,-16.4,79.69642857142857,91,61
2013-03-11,2013,11,4953219,24585.0,49.63438927291526,-11.060119047619047,-5.3,-17.8,76.76190476190476,90,47
2013-03-18,2013,12,4953219,15892.0,32.08418606162982,-9.980952380952381,-2.5,-18.9,74.70833333333333,90,60
2013-03-25,2013,13,4953219,17852.0,36.04120875737576,-5.164285714285715,1.6,-13.5,81.36309523809524,96,57
2013-04-01,2013,14,4953219,13032.0,26.31016314844953,-2.2916666666666665,3.9,-10.8,81.38095238095238,96,50
2013-04-08,2013,15,4953219,20361.0,41.10660158575666,0.5017857142857143,7.2,-9.6,82.66071428571429,99,52
2013-04-15,2013,16,4953219,13431.0,27.11569991151209,5.994642857142857,14.0,-0.1,73.125,97,40
2013-04-22,2013,17,4953219,12945.0,26.134519794097532,5.396428571428571,12.5,-2.3,73.32142857142857,99,39
2013-04-29,2013,18,4953219,5093.0,10.282202341547992,7.364285714285715,16.5,-1.9,64.52380952380952,97,30
2013-05-06,2013,19,4953219,3802.0,7.675816474094927,12.069642857142858,20.8,2.2,74.38095238095238,100,36
2013-05-13,2013,20,4953219,5811.0,11.731764737234512,15.632142857142856,25.3,7.2,78.05357142857143,100,41
2013-05-20,2013,21,4953219,1361.0,2.747708106586848,14.425,19.2,10.5,74.98809523809524,100,50
2013-05-27,2013,22,4953219,0.0,0.0,18.367857142857144,25.4,12.5,69.43452380952381,98,40
2013-06-03,2013,23,4953219,0.0,0.0,18.85654761904762,26.6,12.3,67.23809523809524,99,31
2013-06-10,2013,24,4953219,270.0,0.5451000652303077,15.880952380952381,22.2,10.2,73.76190476190476,100,43
2013-06-17,2013,25,4953219,0.0,0.0,17.28988095238095,25.6,10.1,66.54166666666667,97,39
2013-06-24,2013,26,4953219,0.0,0.0,22.12202380952381,30.4,15.3,75.78571428571429,100,41
2013-07-01,2013,27,4953219,0.0,0.0,19.53690476190476,26.1,14.2,78.05952380952381,100,43
2013-07-08,2013,28,4953219,0.0,0.0,18.98035714285714,25.3,12.2,65.10714285714286,95,34
2013-07-15,2013,29,4953219,0.0,0.0,16.361904761904764,24.2,11.5,71.60714285714286,98,40
2013-07-22,2013,30,4953219,0.0,0.0,17.00297619047619,21.9,12.7,82.7202380952381,98,59
2013-07-29,2013,31,4953219,0.0,0.0,18.805357142857144,25.8,12.6,78.5952380952381,100,47
2013-08-05,2013,32,4953219,0.0,0.0,20.58154761904762,28.0,15.1,77.7202380952381,100,41
2013-08-12,2013,33,4953219,0.0,0.0,16.52261904761905,23.3,12.9,78.83333333333333,99,51
2013-08-19,2013,34,4953219,0.0,0.0,16.385714285714286,23.4,11.1,77.55952380952381,100,51
2013-08-26,2013,35,4953219,0.0,0.0,15.05297619047619,20.4,9.7,76.04166666666667,99,49
2013-09-02,2013,36,4953219,0.0,0.0,13.614285714285714,19.8,6.4,79.76190476190476,100,51
2013-09-09,2013,37,4953219,587.0,1.1850879195932988,13.017261904761906,18.4,7.0,79.75,99,52
2013-09-16,2013,38,4953219,0.0,0.0,12.932142857142857,17.8,8.3,84.35714285714286,99,59
2013-09-23,2013,39,4953219,0.0,0.0,6.494047619047619,12.2,3.0,85.39880952380952,99,62
2013-09-30,2013,40,4953219,0.0,0.0,5.97797619047619,11.3,1.3,81.48214285714286,99,56
2013-10-07,2013,41,4953219,0.0,0.0,9.54107142857143,13.3,3.0,89.10714285714286,100,57
2013-10-14,2013,42,4953219,0.0,0.0,2.9309523809523808,8.7,-2.3,84.35714285714286,99,56
2013-10-21,2013,43,4953219,0.0,0.0,4.7386904761904765,11.2,-3.6,90.89285714285714,100,65
2013-10-28,2013,44,4953219,0.0,0.0,7.397619047619047,11.2,3.8,91.94642857142857,100,68
2013-11-04,2013,45,4953219,0.0,0.0,5.3672619047619055,7.7,1.6,92.69642857142857,100,73
2013-11-11,2013,46,4953219,587.0,1.1850879195932988,4.276190476190476,7.9,-1.1,88.78571428571429,99,50
2013-11-18,2013,47,4953219,0.0,0.0,3.5714285714285716,5.8,-1.6,88.99404761904762,100,53
2013-11-25,2013,48,4953219,0.0,0.0,-1.311904761904762,4.0,-6.5,84.96428571428571,98,65
2013-12-02,2013,49,4953219,663.0,1.338523493509978,-2.4154761904761903,3.1,-8.3,89.42857142857143,98,64
2013-12-09,2013,50,4953219,2274.0,4.590953882717481,-3.1392857142857142,5.6,-12.2,83.47619047619048,99,61
2013-12-16,2013,51,4953219,0.0,0.0,1.2339285714285715,5.2,-3.1,92.05357142857143,99,77
2013-12-23,2013,52,4953219,418.0,0.8438956565417357,2.9767857142857146,5.0,1.3,88.81547619047619,99,68
2013-12-30,2014,1,5028000,837.0,1.6646778042959427,0.6982142857142857,3.8,-2.6,88.86309523809524,99,77
2014-01-06,2014,2,5028000,443.0,0.8810660302307081,-0.030952380952380953,4.4,-7.0,93.04761904761905,100,72
2014-01-13,2014,3,5028000,1599.0,3.1801909307875897,-10.39345238095238,-7.4,-14.5,86.01190476190476,92,76
2014-01-20,2014,4,5028000,8468.0,16.841686555290373,-11.52202380952381,-6.8,-16.5,83.91071428571429,93,69
2014-01-27,2014,5,5028000,2450.0,4.872712808273668,-13.954761904761906,-4.9,-23.9,71.38095238095238,92,51
2014-02-03,2014,6,5028000,5482.0,10.902943516308673,-4.041666666666667,1.6,-15.2,90.4047619047619,97,73
2014-02-10,2014,7,5028000,9562.0,19.01750198886237,0.1505952380952381,1.7,-2.5,94.66071428571429,99,83
2014-02-17,2014,8,5028000,10393.0,20.67024661893397,-0.5636904761904762,3.3,-7.9,90.46428571428571,99,71
2014-02-24,2014,9,5028000,12075.0,24.015513126491648,-0.7339285714285714,5.2,-6.6,80.9047619047619,93,63
2014-03-03,2014,10,5028000,9853.0,19.59626093874304,1.7886904761904763,6.2,-1.8,81.45238095238095,97,58
2014-03-10,2014,11,5028000,9042.0,17.98329355608592,2.306547619047619,8.5,-4.6,78.60714285714286,99,49
2014-03-17,2014,12,5028000,6681.0,13.287589498806682,-2.270238095238095,9.3,-14.2,81.96428571428571,99,59
2014-03-24,2014,13,5028000,9517.0,18.928003182179797,1.901190476190476,8.2,-4.3,70.58333333333333,98,44
2014-03-31,2014,14,5028000,7720.0,15.354017501988864,0.21071428571428572,6.3,-4.9,70.23809523809524,100,36
2014-04-07,2014,15,5028000,6954.0,13.83054892601432,2.388095238095238,11.2,-4.8,63.17857142857143,100,32
2014-04-14,2014,16,5028000,10721.0,21.322593476531424,6.819047619047619,15.0,0.2,67.97619047619048,98,34
2014-04-21,2014,17,5028000,28789.0,57.25735879077168,8.128571428571428,19.1,-1.7,58.375,93,30
2014-04-28,2014,18,5028000,6215.0,12.360779634049324,6.7839285714285715,16.2,-0.0,66.94642857142857,99,34
2014-05-05,2014,19,5028000,5514.0,10.96658711217184,7.836309523809524,18.9,-1.6,75.79166666666667,99,32
2014-05-12,2014,20,5028000,5810.0,11.555290373906123,11.235714285714286,23.9,4.7,75.39880952380952,100,41
2014-05-19,2014,21,5028000,6329.0,12.587509944311853,20.75,30.1,11.2,67.33333333333333,94,35
2014-05-26,2014,22,5028000,1525.0,3.033015115354017,12.772023809523809,21.7,7.2,86.57738095238095,100,57
2014-06-02,2014,23,5028000,498.0,0.9904534606205252,18.90892857142857,27.7,11.2,76.13095238095238,99,37
2014-06-09,2014,24,5028000,402.0,0.7995226730310262,14.69702380952381,20.2,8.6,74.63690476190476,100,47
2014-06-16,2014,25,5028000,626.0,1.24502784407319,10.92797619047619,16.7,4.7,76.33928571428571,99,48
2014-06-23,2014,26,5028000,427.0,0.8492442322991249,11.717857142857142,18.0,6.5,74.38095238095238,99,44
2014-06-30,2014,27,5028000,0.0,0.0,16.051190476190477,23.0,10.5,80.94642857142857,99,47
2014-07-07,2014,28,5028000,0.0,0.0,18.69404761904762,27.7,11.2,64.66666666666667,98,38
2014-07-14,2014,29,5028000,0.0,0.0,20.94047619047619,27.2,13.5,70.01785714285714,99,38
2014-07-21,2014,30,5028000,0.0,0.0,22.254166666666666,29.8,14.0,63.529761904761905,97,36
2014-07-28,2014,31,5028000,0.0,0.0,23.175,30.4,16.7,69.0297619047619,98,30
2014-08-04,2014,32,5028000,0.0,0.0,22.90297619047619,29.6,16.4,64.4702380952381,98,30
2014-08-11,2014,33,5028000,0.0,0.0,18.470238095238095,27.7,13.3,77.82142857142857,98,42
2014-08-18,2014,34,5028000,0.0,0.0,15.706547619047617,21.0,11.7,73.58928571428571,98,47
2014-08-25,2014,35,5028000,0.0,0.0,12.660714285714286,17.6,8.4,88.81547619047619,99,69
2014-09-01,2014,36,5028000,0.0,0.0,13.863095238095237,19.1,8.6,81.92857142857143,100,59
2014-09-08,2014,37,5028000,0.0,0.0,14.972619047619048,22.3,9.0,82.41071428571429,100,53
2014-09-15,2014,38,5028000,0.0,0.0,11.976190476190476,18.2,6.0,78.875,100,46
2014-09-22,2014,39,5028000,0.0,0.0,9.923214285714286,14.8,4.0,76.97619047619048,100,47
2014-09-29,2014,40,5028000,0.0,0.0,7.9678571428571425,14.4,1.4,79.44642857142857,100,53
2014-10-06,2014,41,5028000,0.0,0.0,8.181547619047619,12.9,1.8,84.61904761904762,99,52
2014-10-13,2014,42,5028000,0.0,0.0,3.1321428571428576,9.7,-2.4,81.56547619047619,98,53
2014-10-20,2014,43,5028000,0.0,0.0,-1.1208333333333333,2.4,-6.9,72.41071428571429,99,47
2014-10-27,2014,44,5028000,0.0,0.0,4.938690476190477,10.8,-3.5,83.83928571428571,98,39
2014-11-03,2014,45,5028000,0.0,0.0,4.191071428571429,8.9,0.7,91.81547619047619,100,68
2014-11-10,2014,46,5028000,0.0,0.0,3.1964285714285716,8.3,-2.5,91.28571428571429,100,76
2014-11-17,2014,47,5028000,0.0,0.0,-3.2720238095238097,0.5,-6.7,90.02380952380952,98,78
